Title | Year | RQ1_Datasets | RQ1_Image_Count | RQ1_Class_Balance | RQ2_Preprocessing | RQ2_Augmentation | RQ3_RQ4_Seg_Scope | RQ5_RQ6_Class_Scope | RQ7_Model_Architecture | RQ7_Novelty | RQ7_Transfer_Learning | RQ8_Metrics_Used | RQ8_Best_Result | RQ8_SOTA_Compare | RQ9_Limitations | RQ10_Future_Work
Artificial Intelligence-Based Image Classification for Diagnosis of Skin Cancer: Challenges and Opportunities | 2020 | ISIC (Challenges, HAM10000, BCN20000), Interactive Atlas, Dermofit, PH2, MED-NODE, Asan, Hallym, SD-198, SD-260, Dermnet NZ, Derm7pt, TCGA | Varies (e.g., ISIC Combined: ~129,450; SD-260: 20,600; PH2: 200) | No (Imbalanced); Mentions GANs and weighting for balancing | Color Constancy (Shades of Gray, max-RGB) | Rotation, Random Crop, Flip (Horizontal/Vertical), Translation, Shear, Color Jitter, Colorspace, GANs | Lesion Boundary (Mentioned in reviewed works like Jiang et al. and ROI detection) | Both (Binary: Malignant vs. Benign; Multi-class: Melanoma, BCC, SCC, Nevi, up to 198 classes) | ResNet (50, 152), Inception (V3, V4), VGG19, Faster R-CNN, GANs | Review of Standard Architectures and Ensembles | Yes (Fine-tuning mentioned) | Accuracy, Sensitivity, Specificity, AUROC, F1-score, F-Measure | Sn: 95%, Sp: 76.7% (Haenssle et al. on dermoscopy); AUC: 0.987 (Jiang et al. on histopathology) | Yes (AI vs. Dermatologists) | Unbalanced datasets; "Black box" interpretability; Lack of clinical metadata (history, age); Inter-class mimics and Intra-class variations; Racial bias (lack of dark skin data); Noisy real-life data; Rare diseases ignored | Balanced/Diverse datasets (race, age); Color constancy; GANs for augmentation; Semantic explanation (ABCDE, 7-point); Multi-model ensembles; Integrating clinical metadata; Complete diagnosis pipeline (Dermoscopy + Histopathology) | 10
Artificial Intelligence in Dermatology: A Primer | 2020 | ISIC, HAM10000, Asan, Dermofit, MED-NODE, MClass-D | Varies (Review; e.g. 129,450) | N/A (Review) | Artifact removal (Hair, Rulers) | Rotation, Blur, Brightness, Contrast (Stress tests) | N/A (Focus on Classification) | Both (Binary: Malignant vs Benign; Multi-class: 134 diseases) | CNN (ResNet, Inception) | Primer/Review | Yes [ImageNet implied] | AUC, Sensitivity, Specificity, Top-n Accuracy, Brier Score | N/A (Review) | Yes (AI vs. Dermatologists) | Lack of real-world validation; Dataset bias (lack of dark skin); Image artifacts (ink/rulers); Generalizability; "Black box" interpretability | Prospective studies; Standardized metrics; Diverse datasets (skin of color); Explainability (Saliency maps); Confidence calibration | 10
Artificial intelligence-based image classification methods for diagnosis of skin cancer: Challenges and opportunities | 2020 | ISIC (Challenges, HAM10000, BCN20000), Interactive Atlas, Dermofit, PH2, MED-NODE, Asan, Hallym, SD-198, SD-260, Dermnet NZ, Derm7pt, TCGA | Varies (e.g., ISIC Combined: ~129,450; SD-260: 20,600; PH2: 200) | No (Imbalanced); Mentions GANs and weighting for balancing | Color Constancy (Shades of Gray, max-RGB) | Rotation, Random Crop, Flip (Horizontal/Vertical), Translation, Shear, Color Jitter, Colorspace, GANs | Lesion Boundary (Mentioned in reviewed works like Jiang et al. and ROI detection) | Both (Binary: Malignant vs. Benign; Multi-class: Melanoma, BCC, SCC, Nevi, up to 198 classes) | ResNet (50, 152), Inception (V3, V4), VGG19, Faster R-CNN, GANs | Review of Standard Architectures and Ensembles | Yes (Fine-tuning mentioned) | Accuracy, Sensitivity, Specificity, AUROC, F1-score, F-Measure | Sn: 95%, Sp: 76.7% (Haenssle et al. on dermoscopy); AUC: 0.987 (Jiang et al. on histopathology) | Yes (AI vs. Dermatologists) | Unbalanced datasets; "Black box" interpretability; Lack of clinical metadata (history, age); Inter-class mimics and Intra-class variations; Racial bias (lack of dark skin data); Noisy real-life data; Rare diseases ignored | Balanced/Diverse datasets (race, age); Color constancy; GANs for augmentation; Semantic explanation (ABCDE, 7-point); Multi-model ensembles; Integrating clinical metadata; Complete diagnosis pipeline (Dermoscopy + Histopathology) | 10
ASCU-Net: Attention Gate, Spatial and Channel Attention U-Net for Skin Lesion Segmentation  | 2021  | ISIC-2016, ISIC-2017, PH2  | 4,229 (ISIC-2016: 1,279; ISIC-2017: 2,750; PH2: 200)  | No (Augmentation used)  | None reported (Future work suggests hair removal/color normalization)  | Horizontal and vertical flips  | Lesion Boundary  | N/A (Segmentation focus)  | ASCU-Net (U-Net based with Attention Gate, Spatial and Channel Attention)  | New Architecture  | No  | Accuracy, Sensitivity, Specificity, Precision, Dice Coefficient (F1), Jaccard Index  | AC: 95.4%, F1: 0.908 (ISIC-2016); AC: 92.6%, F1: 0.830 (ISIC-2017)  | Yes  | Slightly lower specificity/precision in some configurations ; performance drops on images with large lesion areas  | Integrate multi-scale attentional features; add pre-processing (hair removal, color normalization); add post-processing; apply to other medical imaging tasks  | 10
ASP-VMUNet: Atrous Shifted Parallel Vision Mamba U-Net for Skin Lesion Segmentation  | 2025  | ISIC-2016, ISIC-2017, ISIC-2018, PH2  | 7,923 (ISIC16: 1,279; ISIC17: 2,750; ISIC18: 3,694; PH2: 200)  | No (Augmentation used)  | Resizing (256x256), Normalization  | Random horizontal flip, Random vertical flip, Random rotation  | Lesion Boundary  | N/A (Segmentation focus)  | ASP-VMUNet (Mamba U-Net with Atrous Scan, Shift Round, SK Block)  | New Architecture  | No  | MIOU, DSC, Accuracy, Sensitivity, Specificity  | MIOU: 91.57% (PH2), 86.93% (ISIC16); DSC: 95.60% (PH2), 93.01% (ISIC16)  | Yes  | Specificity degradation in some configurations; computational complexity increases with larger atrous steps  | Combine atrous scan with other techniques for further gains  | 10
Association between Surgical Skin Markings in Dermoscopic Images and Diagnostic Performance of a Deep Learning Convolutional Neural Network for Melanoma Recognition | 2019 | Clinical Dataset (University of Heidelberg and others) | 130 lesions (390 images: Unmarked, Marked, Cropped) | No (Imbalanced: 107 Benign Nevi, 23 Melanomas) | Manual Cropping | None reported (Experiment focus on artifacts) | N/A (Manual cropping used) | Binary (Benign Nevi vs. Melanoma) | Inception-v4 (Moleanalyzer-Pro) | Evaluation/Validation Study | Yes (Pre-trained on >120,000 images) | Sensitivity, Specificity, ROC AUC | AUC: 0.993 (Cropped images) | No (Comparison of image conditions) | Benign nevi not histologically verified (clinical follow-up); Melanoma markings electronically superimposed (not in vivo); Limited to fair-skinned patients | Avoid skin markings in CNN images; Implement automated segmentation/border detection; Improve interpretability | 10
Attributes based skin lesion detection and recognition: A mask RCNN and transfer learning-based deep learning framework  | 2021  | ISBI2016, ISBI2017, HAM10000  | 14,044 (ISBI2016: 1,279; ISBI2017: 2,750; HAM10000: 10,015)  | No (Imbalanced); Balanced via Data Augmentation (HAM10000)  | Contrast stretching (Decorrelation formulation), 3D-Box filtering  | Data Augmentation (General mention)  | Lesion Boundary  | Both (Binary: ISBI2016/2017; Multi-class: HAM10000 7 classes ) | Mask R-CNN (ResNet50 + FPN), DenseNet201, LS-SVM, ELM  | New Architecture (Cascaded Framework: Mask R-CNN + DenseNet + LS-SVM + ELM)  | Yes [ImageNet]  | Sensitivity, Precision, Accuracy, F1-Score, FNR, Time, Mean Over Coefficient (MOC), Average Precision (Ap)  | ACC: 96.3% (ISBI2016), 94.8% (ISBI2017), 88.5% (HAM10000)  | Yes  | Segmentation framework sometimes ignores light boundary regions or misses parts of the lesion  | Improve feature selection to avoid redundancy; fine-tune model to improve segmentation; utilize multiple deep architectures for feature generation  | 10
Augmented Intelligence Dermatology: Deep Neural Networks Empower Medical Professionals in Diagnosing Skin Cancer and Predicting Treatment Options for 134 Skin Disorders | 2020 | ASAN, Web, MED-NODE, SNU (Validation), Edinburgh (Validation) | 220,680 (Training); 3,501 (Validation: 2,201 SNU + 1,300 Edinburgh) | No (Imbalanced) | None reported | None reported | N/A (Classification focus) | Both (Binary: Malignant vs Benign, Treatment options; Multi-class: 134/174 disorders) | SENet, SE-ResNet-50, VGG-19 | Application / Augmented Intelligence Framework | Yes [ImageNet] | AUC, Top-N Accuracy, Sensitivity, Specificity, F1-score | AUC: 0.937 (Malignancy on SNU); Top-1 Acc: 56.7% (Edinburgh) | Yes (vs. Dermatologists/Residents) | Performance drops on low-quality/blurry images; single image diagnosis lacks clinical context (history, palpation); dataset bias (training data from experts vs. real-world non-expert photos); missing mild inflammatory lesions | Validate in clinical settings; collect broader training data (mild conditions); analyze algorithm's diagnostic features/explainability | 10
Automated deep learning design for medical image classification by health-care professionals with no coding experience: a feasibility study | 2019 | HAM10000, Edinburgh Dermofit Library (External Validation), MESSIDOR, OCT, CXR | 10,015 (HAM10000); 1,300 (Edinburgh Dermofit) | No (Imbalanced; HAM10000 had 67% Nevi); Undersampling used in analysis | None reported (Handled by AutoML "black box") | None reported (Handled by AutoML); Undersampling for validation | N/A (Classification focus) | Multi-class (7 classes: Actinic keratosis, BCC, Benign keratosis, Dermatofibroma, Melanoma, Nevus, Vascular lesion) | Google Cloud AutoML Vision API (Neural Architecture Search) | Feasibility of AutoML by non-experts | Yes (Implicit in AutoML) | Sensitivity, Specificity, Positive Predictive Value (Precision), AUPRC | AUPRC: 0.93, Sn: 91% (Internal HAM10000); AUPRC: 0.47, Sn: 49% (External Edinburgh) | Yes (Compared to state-of-the-art in discussion) | Poor generalization to external datasets (AUPRC dropped from 0.93 to 0.47); "Black box" lack of interpretability (no saliency maps); API limitations (single image upload); lack of uncertainty metrics | Evaluate other AutoML platforms; improve dataset quality and reporting standards; emphasize external validation | 9
Automated multi-class classification of skin lesions through deep convolutional neural network with dermoscopic images | 2021 | ISIC-2017, ISIC-2018, ISIC-2019 (HAM10000, BCN, MSK) | 25,331 (ISIC-19); 10,015 (ISIC-18); 2,750 (ISIC-17) | No (Imbalanced); Balanced via Data Augmentation (Rotation, Translation, Flipping) | Cropping, Rescaling (64x64) | Rotation, Translation, Flipping | N/A (Classification focus) | Both (Binary: MEL vs NV/BKL; Multi-class: 7-8 classes) | CSLNet (Custom DCNN with 68 layers) | New Architecture | No | Precision, Sensitivity, Specificity, Accuracy, F1 score, JSC, G-mean, MCC, CKS, AUROC, PR-AUC | ISIC-19: ACC 89.75%, AUROC 0.991; ISIC-17: AUROC 0.964 | Yes | NV class difficult to distinguish due to intra-class variation; lack of clinical metadata (age, gender, race) for validation | Validate with clinical metadata (age, gender, race, family history); clinical implementation | 10
Automatic Malignant and Benign Skin Cancer Classification Using a Hybrid Deep Learning Approach | 2022 | ISIC Archive | 3,297 (1,800 Benign, 1,497 Malignant) | No (Imbalanced); None reported for balancing | Filtering (Median, Mean, Gaussian, Adaptive Wiener) | None reported | N/A (Classification focus) | Binary (Benign vs Malignant) | Xception, ResNet50, VGG16 (Feature Extractors); Stacked Ensemble (SVM, NN, RF, KNN, Logistic Regression) | Hybrid Stacking Ensemble (Stacked CV) | Yes (Pre-trained models) | Accuracy, F1-Score, Sensitivity, AUC | ACC: 90.9%, AUC: 0.917 (Xception + StackingCV) | Yes (vs. Single Classifiers: SVM, KNN, RF, etc.) | Inadequate data/lack of variety; lack of balanced samples; limited to visual features (no metadata used) | Use more diverse datasets (varied categories, ages); include image metadata; ensure balanced samples | 9
Automatic Skin Cancer Detection in Dermoscopy Images Based on Ensemble Lightweight Deep Learning Network | 2020 | ISBI 2016 (ISIC Archive) | 1,279 (900 Training, 379 Test) | No (Imbalanced); Balanced via Data Augmentation and Positive/Negative Sample Pairing | Data Standardization | Rotation, Mirroring, Center Cropping, Brightness Change, Random Occlusion | Lesion Boundary | Binary (Melanoma vs. Benign) | MobileNetV1, DenseNet-121 (Lightweight CNNs in U-Net and Classification Ensembles) | Ensemble / Feature Discrimination Network | Yes [ImageNet] | Accuracy, Jaccard Index (JA), Dice Coefficient, Specificity, Sensitivity, AUC, AP | Seg: JA 0.867; Class: AP 0.724, AUC 0.854 (Fusion models) | Yes | Limited training data; high resolution input requirement for segmentation increases computational cost; some unsatisfactory cases | Design more effective feature discrimination networks; evaluate on more datasets; cross-platform deployment | 10
Automatic Skin Lesion Analysis using Large-scale Dermoscopy Images and Deep Residual Networks | 2017 | ISIC 2017 Challenge, ISIC Archive | ~9,800 (Seg); ~3,600 (Class) | No (Imbalanced) | Downscaling (500px Seg, 224px Class) | Random crops, Flips (Training); Multi-scale, Flips (Testing) | Lesion Boundary | Both (Binary: Mel vs Rest, SK vs Rest; Multi-class: Mel, SK, Nevus) | ResNet, FCN-ResNet | Application / Ensemble / Multi-scale integration | Yes [ImageNet] | Jaccard Index, AUC | Jaccard: 79.40%, Avg AUC: 91.50% | Yes (vs. FCN-VGGNet) | Small validation set (150 images); Ground truth not public at time of writing | None reported | 8
BCN20000: Dermoscopic Lesions in the Wild | 2024 | BCN20000 | 18,946 (12,413 Train, 6,533 Test) | No (Imbalanced); Balanced via Weighted Sampling | Cropping (ROI detection/Dark frame removal), Normalization, Resizing | Resized crops, Grayscale/Permutation, Color Jitter (Brightness, Saturation, Contrast, Hue), Flips | Lesion Boundary (ROI Cropping via Thresholding/Moments) | Multi-class (NV, MEL, BCC, SCC, DF, BKL, AK, VASC; Test set: Unknown/OOD) | ResNet (18, 34, 50), EfficientNet (B0, B1, B2) | Dataset Introduction / Baseline Classifiers | Yes [ImageNet] | Balanced Accuracy | Balanced Accuracy: 0.461 (EfficientNet-B2 on Cropped) | No (Baselines provided) | Class imbalance; dark corners/frames in images; presence of out-of-distribution (OOD) lesions; hard-to-diagnose locations (nails, mucosa) | Develop algorithms for unconstrained environments; handle OOD samples; improve performance on hard-to-diagnose lesions | 10
Cancer Diagnosis Using Deep Learning: A Bibliographic Review | 2019 | ISIC, DermIS, DermQuest, MED-NODE, PH2, Asan | Varies (Review; e.g. Esteva: 129,450; Han: 19,398) | No (Imbalanced); Mentions inequality of training data distribution as a major issue | Contrast adjustment, Vignetting removal, Color correction, Smoothing, Hair removal, Normalization, Localization, Black frame removal, Dull Razor, Color space transform | Rotation, Cropping, Filtering | Both (Lesion Boundary; Attributes like globule patterns/pigment network) | Both (Binary: Malignant vs Benign; Multi-class: Melanoma, BCC, SCC, Nevi, etc.) | CNN (AlexNet, VGGNet, ResNet, Inception, DenseNet), GANs, Autoencoders (SAE, CAE), RNN, LSTM, U-Net, FCN, DeepLab 3 | Review / Bibliographic Analysis | Yes (Mentions use of pre-trained models like AlexNet, VGG-16, ResNet) | ROC-curve, AUC, F1 score, Accuracy, Specificity, Sensitivity, Precision, Dice-coefficient, Jaccard index | AUC: 0.96 (Esteva et al.); ACC: 98.32% (ISIC 2016 study) | Yes (Comparison with Dermatologists and previous algorithms) | Lack of dataset availability; Inequality of training data distribution (class imbalance); Low contrast and SNR of medical images; Variation in target object size | Improve performance on low contrast/poor SNR images; Address class imbalance; Collection of larger/balanced datasets; Standardization of evaluation | 8
Characteristics of publicly available skin cancer image datasets: a systematic review | 2022 | Review of 21 Open Access Datasets (ISIC Archive, HAM10000, BCN20000, PH2, PAD-UFES-20, MED-NODE, SNU, SD-198, SD-260, etc.) | 106,950 (Total Open Access) | N/A (Review; highlights class imbalance and lack of diversity) | N/A (Review) | N/A (Review) | N/A (Review; notes 5 datasets include segmentations) | N/A (Review of datasets supporting various tasks) | N/A (Review of Datasets) | Systematic Review | N/A | N/A (Evaluated metadata completeness and geographic origin) | N/A (Review) | N/A | Substantial under-representation of darker skin types (Fitzpatrick V-VI) and ethnicity data; geographical bias (mostly Europe/North America); lack of metadata standardization | Develop quality standards for metadata reporting; prioritize prospective collection of diverse data (specifically darker skin types); address health data poverty | 10
